PRODUCT_ID,WEEK,SALES
4048,0,2.0
4661,0,2.0
3956,0,11.0
2552,0,23.0
3668,0,12.0
3924,0,16.0
5071,0,0.0
3174,0,1.0
3155,0,115.0
2619,0,3.0
2333,0,14.0
4261,0,32.0
2309,0,7.0
4199,0,9.0
4403,0,0.0
4402,0,4.0
4560,0,3.0
2763,0,9.0
4155,0,0.0
4768,0,53.0
2587,0,40.0
2978,0,6.0
4484,0,9.0
4262,0,19.0
3838,0,13.0
3701,0,37.0
4521,0,2.0
4655,0,0.0
4659,0,0.0
4276,0,9.0
4334,0,0.0
4343,0,2.0
4381,0,0.0
2907,0,0.0
3907,0,2.0
3929,0,15.0
2614,0,0.0
3068,0,0.0
2138,0,3.0
3571,0,21.0
3819,0,4.0
2193,0,29.0
3902,0,1.0
3903,0,0.0
479,0,31.0
1917,0,3.0
2596,0,5.0
4275,0,3.0
3825,0,9.0
3810,0,0.0
4336,0,1.0
2343,0,16.0
3157,0,54.0
2126,0,31.0
4257,0,5.0
4447,0,0.0
4629,0,5.0
4466,0,61.0
4097,0,2.0
4201,0,3.0
3672,0,5.0
4152,0,5.0
3582,0,12.0
3798,0,1.0
3797,0,5.0
3885,0,10.0
3866,0,4.0
1305,0,9.0
3119,0,160.0
4316,0,0.0
3307,0,11.0
3925,0,4.0
3904,0,0.0
3686,0,4.0
3702,0,5.0
5079,0,0.0
3170,0,1.0
4777,0,10.0
3046,0,9.0
2835,0,0.0
3570,0,2.0
2833,0,18.0
2834,0,3.0
4539,0,8.0
4630,0,7.0
3617,0,0.0
2699,0,2.0
4250,0,1.0
3740,0,0.0
4384,0,1.0
3098,0,12.0
3094,0,2.0
4667,0,0.0
3615,0,0.0
4215,0,2.0
3831,0,0.0
3044,0,17.0
3034,0,34.0
1101,0,2.0
4279,0,0.0
2323,0,0.0
4804,0,12.0
4904,0,0.0
3265,0,17.0
4973,0,0.0
4198,0,3.0
4248,0,4.0
3506,0,0.0
2163,0,14.0
5134,0,0.0
4511,0,20.0
4642,0,0.0
5524,0,0.0
3521,0,0.0
2555,0,1.0
3720,0,4.0
4211,0,0.0
4233,0,3.0
4634,0,0.0
4154,0,0.0
4431,0,0.0
3270,0,3.0
4352,0,2.0
3930,0,7.0
4405,0,2.0
1033,0,6.0
3767,0,7.0
2829,0,1.0
4278,0,5.0
3785,0,8.0
4249,0,2.0
4186,0,0.0
4057,0,0.0
5041,0,0.0
3440,0,0.0
4344,0,0.0
4498,0,69.0
2252,0,1.0
2912,0,0.0
4119,0,1.0
3240,0,2.0
4658,0,0.0
3714,0,0.0
4553,0,0.0
3804,0,0.0
4516,0,8.0
4430,0,2.0
4087,0,3.0
3820,0,2.0
