PRODUCT_ID,PRODUCT_METADATA
2831,"Olives, Pickles + Relish"
6046,Coffee
6057,Spice + Seasoning
4929,Performance Nutrition
5566,Supplements
5572,Kitchenware
4553,RTD Tea
6105,Chips + Crisps
6097,Chips + Crisps
6108,Baking
6132,Supplements
6133,Supplements
3935,Tea
4390,Hemp Ingestibles
6185,Desserts
6535,Desserts
4845,Oral Care
4079,"Sauces, Salsas + Dips"
4881,Hemp Topicals + Tinctures
2583,"Olives, Pickles + Relish"
6189,Hemp Topicals + Tinctures
5519,Hemp
4888,Hemp
5446,Snack Bars
5319,Cookies
5110,Nuts + Fruits
5459,Tea
6109,Baking
4234,Hemp Topicals + Tinctures
4566,Baking
4259,Desserts
3029,Skin Care
3019,Oral Care
5097,Baking
6145,Hemp Ingestibles
6530,Tea
4263,Spice + Seasoning
6545,Hot sauce
2137,Cookies
5452,Baking
5455,Sweeteners + Syrup
6169,Kitchenware
6556,Bath + Body Care
6558,Bath + Body Care
4312,Oral Care
4400,Coffee
6574,Popped + Puffed
4335,Oral Care
3605,Waters
5281,Baking
5356,Hemp Topicals + Tinctures
4278,Waters
956,Snack Bars
2763,Chips + Crisps
912,Sweeteners + Syrup
4351,Personal Care
4617,Supplements
5374,Pets
4374,Condiments
4760,Supplements
4382,Herbs + Botanicals
5916,Skin Care
6517,Pets
5958,Cleaning 
5974,Bath + Body Care
5932,Personal Care
5975,Kitchenware
5109,Nuts + Fruits
6011,Cleaning 
6042,Nuts + Fruits
6019,Cleaning 
4630,Cookies
6061,Spice + Seasoning
4867,"Rice, Beans + Grains"
4941,Zero-Proof NA
6538,Snack Bites
6539,Nuts + Fruits
2619,Desserts
4661,Plant Based
6295,Bath + Body Care
6089,Nut + Seed Butter
6139,Pets
6147,Hemp Topicals + Tinctures
6149,Kitchenware
6547,Snack Bars
6549,Snack Bars
3790,Personal Care
3779,Hemp
5505,"Pasta, Noodles + Sauces"
5453,Baking
5606,Hemp
4662,Hemp Ingestibles
1033,Snack Bites
3907,Coffee
6565,Bath + Body Care
6568,Condiments
3093,Soup + Broth
3426,Snack Bars
4322,Sweeteners + Syrup
4337,Oral Care
4267,Shelf Stable Non-Dairy Milk
3825,Hemp
4362,Waters
4366,Supplements
5166,Snack Bars
4754,Oral Care
4757,Oral Care
5187,Hemp Edibles
6294,"Sauces, Salsas + Dips"
6054,Spice + Seasoning
6533,Tea
5044,Superfood Mixes + Granola
5056,Coffee
4782,Personal Care
5228,Desserts
2455,Waters
2557,Tea
5203,Hemp
3927,Chips + Crisps
3099,Herbs + Botanicals
6676,Nuts + Fruits
3293,Jerky
3518,Cheese + Plant Based Cheese
2808,Bath + Body Care
5966,Personal Care
6001,Cleaning 
4864,Hemp Ingestibles
6044,Nuts + Fruits
6050,"Pasta, Noodles + Sauces"
6067,Oil + Vinegar
4629,Nuts + Fruits
6081,"Rice, Beans + Grains"
5569,Functional
6087,Fruit Spreads + Preserves
3020,Oral Care
6124,Spice + Seasoning
6146,Hemp Ingestibles
5580,RTD Coffee
5102,Chocolate
4301,Personal Care
5513,Hemp
5567,Desserts
5088,"Pasta, Noodles + Sauces"
6134,Supplements
5503,Condiments
6536,Desserts
5562,Hemp Ingestibles
4403,Nuts + Fruits
5524,Popped + Puffed
6299,Sodas
5326,Hemp
5113,Chips + Crisps
6561,Functional
5924,Bath + Body Care
5472,Nuts + Fruits
3311,Sparkling
5335,Condiments
5338,Chips + Crisps
3820,Functional
6336,Hemp Ingestibles
6343,Hemp
5340,RTD Coffee
2822,Bath + Body Care
4673,Baking
4685,Soup + Broth
6031,Tea
4698,Confections
4347,Spice + Seasoning
4279,Waters
6353,Personal Care
5140,Fruit + Vegetables
5367,Chocolate
6368,Chips + Crisps
6373,Personal Care
4763,Nut + Seed Butter
5438,Confections
4342,Functional
5347,Nut + Seed Butter
5163,Popped + Puffed
