product,week_start,sales
3001,2022-01-03,0
3005,2022-01-03,0
3013,2022-01-03,6
3034,2022-01-03,34
3035,2022-01-03,0
3037,2022-01-03,7
3042,2022-01-03,12
3044,2022-01-03,17
3046,2022-01-03,9
3047,2022-01-03,2
3054,2022-01-03,0
3055,2022-01-03,0
3056,2022-01-03,0
3057,2022-01-03,0
3058,2022-01-03,0
3059,2022-01-03,0
3060,2022-01-03,0
3062,2022-01-03,0
3064,2022-01-03,0
3065,2022-01-03,0
3068,2022-01-03,0
3069,2022-01-03,0
3070,2022-01-03,0
3071,2022-01-03,0
3075,2022-01-03,0
3076,2022-01-03,0
3080,2022-01-03,0
3083,2022-01-03,1
3094,2022-01-03,2
3098,2022-01-03,12
3105,2022-01-03,0
3111,2022-01-03,0
3112,2022-01-03,0
3114,2022-01-03,0
3116,2022-01-03,0
3117,2022-01-03,0
3119,2022-01-03,160
3122,2022-01-03,0
3124,2022-01-03,0
3141,2022-01-03,0
3142,2022-01-03,0
3147,2022-01-03,2
3149,2022-01-03,0
3152,2022-01-03,0
3153,2022-01-03,0
3155,2022-01-03,115
3156,2022-01-03,6
3157,2022-01-03,54
3159,2022-01-03,0
3160,2022-01-03,1
3162,2022-01-03,0
3166,2022-01-03,0
3167,2022-01-03,0
3168,2022-01-03,1
3169,2022-01-03,0
3170,2022-01-03,1
3172,2022-01-03,0
3173,2022-01-03,0
3174,2022-01-03,1
3175,2022-01-03,0
3189,2022-01-03,0
3194,2022-01-03,0
3197,2022-01-03,0
3200,2022-01-03,0
3216,2022-01-03,0
3217,2022-01-03,0
3232,2022-01-03,0
3239,2022-01-03,2
3240,2022-01-03,2
3255,2022-01-03,1
3256,2022-01-03,0
3258,2022-01-03,0
3260,2022-01-03,0
3261,2022-01-03,1
3262,2022-01-03,0
3264,2022-01-03,1
3265,2022-01-03,17
3268,2022-01-03,2
3270,2022-01-03,3
3271,2022-01-03,0
3280,2022-01-03,0
3283,2022-01-03,0
3284,2022-01-03,0
3304,2022-01-03,0
3307,2022-01-03,11
3312,2022-01-03,0
3317,2022-01-03,4
3344,2022-01-03,0
3351,2022-01-03,4
3357,2022-01-03,0
3401,2022-01-03,0
3405,2022-01-03,0
3410,2022-01-03,0
3414,2022-01-03,4
3417,2022-01-03,0
3421,2022-01-03,0
3440,2022-01-03,0
3443,2022-01-03,0
3446,2022-01-03,0
3480,2022-01-03,0
3481,2022-01-03,0
3482,2022-01-03,0
3483,2022-01-03,0
3486,2022-01-03,0
3491,2022-01-03,1
3492,2022-01-03,0
3496,2022-01-03,0
3502,2022-01-03,0
3506,2022-01-03,0
3511,2022-01-03,0
3516,2022-01-03,0
3518,2022-01-03,0
3520,2022-01-03,2
3521,2022-01-03,0
3527,2022-01-03,0
3543,2022-01-03,0
3547,2022-01-03,0
3548,2022-01-03,0
3560,2022-01-03,0
3570,2022-01-03,2
