product,week_start,sales,last-1_week_sales,last-1_week_diff,last-2_week_sales,last-2_week_diff
2142,2022-03-14,1,2.0,2.0,0.0,-1.0
2158,2022-03-14,0,0.0,0.0,0.0,0.0
2163,2022-03-14,39,40.0,-30.0,70.0,44.0
2166,2022-03-14,0,1.0,1.0,0.0,-3.0
2178,2022-03-14,18,4.0,4.0,0.0,-1.0
2184,2022-03-14,0,0.0,0.0,0.0,0.0
2190,2022-03-14,0,0.0,0.0,0.0,0.0
2191,2022-03-14,3,2.0,1.0,1.0,-3.0
2193,2022-03-14,20,73.0,70.0,3.0,-22.0
2227,2022-03-14,0,1.0,1.0,0.0,-1.0
2251,2022-03-14,9,0.0,-8.0,8.0,-10.0
2252,2022-03-14,10,7.0,7.0,0.0,-6.0
2253,2022-03-14,0,0.0,0.0,0.0,0.0
2270,2022-03-14,0,0.0,-6.0,6.0,6.0
2276,2022-03-14,0,0.0,-3.0,3.0,3.0
2277,2022-03-14,0,0.0,0.0,0.0,0.0
2279,2022-03-14,0,0.0,-1.0,1.0,1.0
2292,2022-03-14,0,3.0,3.0,0.0,0.0
2293,2022-03-14,3,0.0,0.0,0.0,-3.0
2309,2022-03-14,14,8.0,-11.0,19.0,12.0
2317,2022-03-14,0,0.0,0.0,0.0,0.0
2323,2022-03-14,18,5.0,-11.0,16.0,7.0
2331,2022-03-14,0,0.0,-2.0,2.0,1.0
2333,2022-03-14,358,159.0,-15.0,174.0,-55.0
2334,2022-03-14,0,0.0,0.0,0.0,0.0
2343,2022-03-14,183,119.0,52.0,67.0,-50.0
2367,2022-03-14,0,0.0,-2.0,2.0,1.0
2387,2022-03-14,0,0.0,0.0,0.0,0.0
2389,2022-03-14,0,0.0,0.0,0.0,0.0
2401,2022-03-14,22,20.0,-3.0,23.0,11.0
2402,2022-03-14,2,0.0,0.0,0.0,-1.0
2403,2022-03-14,0,0.0,0.0,0.0,0.0
2409,2022-03-14,0,0.0,-2.0,2.0,2.0
2410,2022-03-14,0,0.0,0.0,0.0,0.0
2412,2022-03-14,0,0.0,0.0,0.0,0.0
2419,2022-03-14,7,17.0,-20.0,37.0,21.0
2420,2022-03-14,1,0.0,-3.0,3.0,3.0
2425,2022-03-14,2,0.0,0.0,0.0,-1.0
2441,2022-03-14,0,5.0,5.0,0.0,0.0
2447,2022-03-14,0,0.0,-1.0,1.0,1.0
2448,2022-03-14,0,0.0,-1.0,1.0,1.0
2450,2022-03-14,0,0.0,0.0,0.0,0.0
2500,2022-03-14,16,5.0,-2.0,7.0,5.0
2514,2022-03-14,30,22.0,-16.0,38.0,26.0
2529,2022-03-14,0,0.0,0.0,0.0,0.0
2536,2022-03-14,7,62.0,51.0,11.0,-54.0
2537,2022-03-14,0,0.0,0.0,0.0,0.0
2551,2022-03-14,0,2.0,1.0,1.0,1.0
2552,2022-03-14,150,152.0,-44.0,196.0,47.0
2554,2022-03-14,0,0.0,0.0,0.0,0.0
2555,2022-03-14,16,7.0,-7.0,14.0,-14.0
2562,2022-03-14,3,8.0,5.0,3.0,0.0
2571,2022-03-14,0,0.0,0.0,0.0,0.0
2576,2022-03-14,8,24.0,16.0,8.0,8.0
2577,2022-03-14,12,120.0,120.0,0.0,0.0
2583,2022-03-14,0,1.0,-1.0,2.0,2.0
2587,2022-03-14,68,117.0,60.0,57.0,-42.0
2589,2022-03-14,0,0.0,0.0,0.0,0.0
2592,2022-03-14,0,1.0,0.0,1.0,-2.0
2593,2022-03-14,0,0.0,0.0,0.0,0.0
2596,2022-03-14,14,20.0,-7.0,27.0,20.0
2607,2022-03-14,3,0.0,-4.0,4.0,1.0
2609,2022-03-14,1,2.0,0.0,2.0,2.0
2610,2022-03-14,0,0.0,0.0,0.0,0.0
2614,2022-03-14,0,0.0,0.0,0.0,0.0
2615,2022-03-14,5,15.0,7.0,8.0,2.0
2616,2022-03-14,3,3.0,3.0,0.0,0.0
2619,2022-03-14,7,0.0,-9.0,9.0,6.0
2623,2022-03-14,0,0.0,0.0,0.0,0.0
2626,2022-03-14,0,0.0,0.0,0.0,0.0
2628,2022-03-14,0,18.0,18.0,0.0,0.0
2639,2022-03-14,15,20.0,9.0,11.0,11.0
2641,2022-03-14,2,0.0,0.0,0.0,0.0
2644,2022-03-14,11,12.0,-1.0,13.0,7.0
2645,2022-03-14,6,0.0,0.0,0.0,-4.0
2648,2022-03-14,1,3.0,2.0,1.0,1.0
2656,2022-03-14,1,0.0,0.0,0.0,0.0
2659,2022-03-14,0,0.0,0.0,0.0,0.0
2667,2022-03-14,20,7.0,-1.0,8.0,-6.0
2668,2022-03-14,0,0.0,0.0,0.0,0.0
2670,2022-03-14,0,0.0,0.0,0.0,0.0
2679,2022-03-14,0,0.0,0.0,0.0,0.0
2680,2022-03-14,11,0.0,-6.0,6.0,-10.0
2694,2022-03-14,0,0.0,0.0,0.0,0.0
2699,2022-03-14,9,6.0,1.0,5.0,2.0
2715,2022-03-14,10,5.0,-6.0,11.0,0.0
2722,2022-03-14,32,14.0,-3.0,17.0,-5.0
2727,2022-03-14,0,0.0,0.0,0.0,0.0
2733,2022-03-14,0,2.0,2.0,0.0,-1.0
2735,2022-03-14,0,0.0,-6.0,6.0,6.0
2739,2022-03-14,0,0.0,-5.0,5.0,0.0
2748,2022-03-14,0,0.0,0.0,0.0,0.0
2750,2022-03-14,0,0.0,0.0,0.0,0.0
2751,2022-03-14,0,0.0,0.0,0.0,0.0
2753,2022-03-14,0,2.0,2.0,0.0,0.0
2756,2022-03-14,0,0.0,0.0,0.0,0.0
2757,2022-03-14,0,0.0,-6.0,6.0,6.0
2763,2022-03-14,16,17.0,3.0,14.0,6.0
2782,2022-03-14,0,0.0,-4.0,4.0,4.0
2784,2022-03-14,0,0.0,0.0,0.0,0.0
2785,2022-03-14,0,50.0,48.0,2.0,2.0
2788,2022-03-14,0,29.0,29.0,0.0,-2.0
2795,2022-03-14,0,0.0,0.0,0.0,0.0
2796,2022-03-14,0,0.0,-2.0,2.0,0.0
2800,2022-03-14,0,0.0,0.0,0.0,0.0
2807,2022-03-14,0,0.0,0.0,0.0,0.0
2819,2022-03-14,0,0.0,0.0,0.0,0.0
2824,2022-03-14,0,0.0,0.0,0.0,0.0
2829,2022-03-14,0,0.0,-10.0,10.0,10.0
2830,2022-03-14,0,0.0,0.0,0.0,0.0
2832,2022-03-14,0,0.0,0.0,0.0,0.0
2833,2022-03-14,8,12.0,-20.0,32.0,-25.0
2834,2022-03-14,0,1.0,0.0,1.0,-14.0
2835,2022-03-14,1,1.0,0.0,1.0,1.0
2836,2022-03-14,0,6.0,6.0,0.0,0.0
2837,2022-03-14,2,2.0,-1.0,3.0,0.0
2842,2022-03-14,0,0.0,-3.0,3.0,1.0
2849,2022-03-14,3,0.0,-3.0,3.0,1.0
2903,2022-03-14,1,6.0,-6.0,12.0,12.0
2906,2022-03-14,10,5.0,3.0,2.0,-27.0
2907,2022-03-14,6,3.0,-9.0,12.0,9.0
2911,2022-03-14,4,4.0,1.0,3.0,2.0
2912,2022-03-14,2,7.0,-3.0,10.0,7.0
2914,2022-03-14,0,0.0,0.0,0.0,0.0
2915,2022-03-14,25,0.0,0.0,0.0,-14.0
