product,week,sales
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,2
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,2
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,2
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,2
4048,QUANTITY,1
4048,QUANTITY,2
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4048,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,2
4661,QUANTITY,2
4661,QUANTITY,5
4661,QUANTITY,1
4661,QUANTITY,2
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,2
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,2
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,4
4661,QUANTITY,3
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,8
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,6
4661,QUANTITY,1
4661,QUANTITY,6
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,2
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
4661,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,3
3956,QUANTITY,3
3956,QUANTITY,4
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,5
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,7
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,3
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,4
3956,QUANTITY,4
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,3
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,3
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,3
3956,QUANTITY,4
3956,QUANTITY,4
3956,QUANTITY,4
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,3
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,4
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,9
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,3
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,4
3956,QUANTITY,1
3956,QUANTITY,2
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
3956,QUANTITY,1
